dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
22;0;2022-01-13;504100;486109;308657;1029;322639
23;0;2022-01-13;90609;87355;55814;144;59231
24;0;2022-01-13;327429;312294;192960;634;205557
25;0;2022-01-13;397482;368668;207150;550;229960
26;0;2022-01-13;383860;359913;204432;631;225642
27;0;2022-01-13;472329;448079;256230;579;279583
28;0;2022-01-13;338305;322562;193463;453;208851
29;0;2022-01-13;764317;742712;469110;1724;486972
2A;0;2022-01-13;111934;106354;67207;132;69611
2B;0;2022-01-13;119952;112561;71479;96;75298
30;0;2022-01-13;569301;527793;300040;834;330611
31;0;2022-01-13;1065401;1001491;560684;1389;606786
32;0;2022-01-13;153055;146846;95020;174;99764
33;0;2022-01-13;1311534;1246892;738536;2346;786955
34;0;2022-01-13;904379;843822;494144;1310;532906
35;0;2022-01-13;873255;833546;470195;1502;501965
36;0;2022-01-13;175058;167517;100282;265;107726
37;0;2022-01-13;492104;468115;277942;942;300652
38;0;2022-01-13;978282;916325;507860;1803;568617
39;0;2022-01-13;196985;184245;106967;257;119679
40;0;2022-01-13;348768;335534;213742;624;224648
41;0;2022-01-13;267338;254823;155435;671;167473
42;0;2022-01-13;576412;533479;294270;734;337966
43;0;2022-01-13;173159;161485;92031;239;103591
44;0;2022-01-13;1139135;1095146;606642;1896;645879
45;0;2022-01-13;527897;499488;298141;1049;323179
46;0;2022-01-13;134611;129052;82531;175;85405
47;0;2022-01-13;257484;245095;147175;314;154193
48;0;2022-01-13;57024;53028;30845;71;33316
49;0;2022-01-13;645094;618503;354853;1135;382294
50;0;2022-01-13;415466;400669;256017;889;270244
51;0;2022-01-13;436606;413949;244835;639;267521
52;0;2022-01-13;133434;126581;77614;205;85299
53;0;2022-01-13;244571;235493;139888;434;151151
54;0;2022-01-13;558660;527952;317340;1138;347823
55;0;2022-01-13;143019;135454;82392;397;90901
56;0;2022-01-13;636517;611883;366996;990;386957
57;0;2022-01-13;796855;750276;444059;1574;483477
58;0;2022-01-13;163178;155997;97897;321;106183
59;0;2022-01-13;1984822;1857001;1056077;3918;1188101
60;0;2022-01-13;625367;579498;314253;1000;347356
61;0;2022-01-13;223442;213352;131858;311;142087
62;0;2022-01-13;1175451;1113729;661195;2922;732044
63;0;2022-01-13;514381;491021;300396;849;325262
64;0;2022-01-13;554744;530591;332053;875;351429
65;0;2022-01-13;181496;172781;107864;232;115798
66;0;2022-01-13;370243;348093;211523;502;225659
67;0;2022-01-13;887969;834426;478209;1147;524685
68;0;2022-01-13;555681;520519;295862;644;325637
69;0;2022-01-13;1414841;1308894;698140;2004;799754
70;0;2022-01-13;181262;171868;103443;287;113058
71;0;2022-01-13;439725;418214;253180;995;279096
72;0;2022-01-13;456616;434451;249808;813;269467
73;0;2022-01-13;335580;314130;171447;661;192222
74;0;2022-01-13;585910;540122;268654;934;305340
75;0;2022-01-13;1762541;1635514;963980;2233;1094752
76;0;2022-01-13;1001334;951303;571646;1500;624261
77;0;2022-01-13;1057836;969677;521530;1304;585950
78;0;2022-01-13;1124819;1045071;604003;1318;666023
79;0;2022-01-13;305324;292355;173151;453;186215
80;0;2022-01-13;462807;439630;263759;1025;287779
81;0;2022-01-13;302498;284563;170662;337;184687
82;0;2022-01-13;198057;186545;107615;200;116420
83;0;2022-01-13;826363;764202;442006;1189;483262
84;0;2022-01-13;418000;382769;206658;774;229529
85;0;2022-01-13;574034;554428;329754;985;351419
86;0;2022-01-13;343332;328517;196326;579;208477
87;0;2022-01-13;297671;284723;180307;294;190476
88;0;2022-01-13;285782;269594;156610;488;173076
89;0;2022-01-13;259287;245066;145908;431;156954
90;0;2022-01-13;102287;96389;56878;118;61762
91;0;2022-01-13;965423;884515;479655;990;533038
92;0;2022-01-13;1233303;1147657;670772;1290;752912
93;0;2022-01-13;1089262;947186;428825;874;499771
94;0;2022-01-13;1018821;928307;503647;1018;570963
95;0;2022-01-13;901569;807917;412616;839;468785
