"dep";"an_sem";"clage_covid_dc65";"cat_zscore"
"72";"2020-S13";"0";"1"
"72";"2020-S14";"0";"2"
"73";"2020-S11";"A";"1"
"73";"2020-S12";"A";"1"
"73";"2020-S13";"A";"1"
"73";"2020-S14";"A";"1"
"73";"2020-S11";"0";"1"
"73";"2020-S12";"0";"1"
"73";"2020-S13";"0";"1"
"73";"2020-S14";"0";"1"
"74";"2020-S11";"A";"2"
"74";"2020-S12";"A";"2"
"74";"2020-S13";"A";"2"
"74";"2020-S14";"A";"4"
"74";"2020-S11";"0";"2"
"74";"2020-S12";"0";"2"
"74";"2020-S13";"0";"2"
"74";"2020-S14";"0";"4"
"75";"2020-S11";"A";"1"
"75";"2020-S12";"A";"3"
"75";"2020-S13";"A";"5"
"75";"2020-S14";"A";"5"
"75";"2020-S11";"0";"1"
"75";"2020-S12";"0";"3"
"75";"2020-S13";"0";"5"
"75";"2020-S14";"0";"5"
"76";"2020-S11";"A";"1"
"76";"2020-S12";"A";"2"
"76";"2020-S13";"A";"1"
"76";"2020-S14";"A";"2"
"76";"2020-S11";"0";"1"
"76";"2020-S12";"0";"2"
"76";"2020-S13";"0";"2"
"76";"2020-S14";"0";"2"
"77";"2020-S11";"A";"1"
"77";"2020-S12";"A";"1"
"77";"2020-S13";"A";"2"
"77";"2020-S14";"A";"5"
"77";"2020-S11";"0";"1"
"77";"2020-S12";"0";"2"
"77";"2020-S13";"0";"2"
"77";"2020-S14";"0";"5"
"78";"2020-S11";"A";"1"
"78";"2020-S12";"A";"2"
"78";"2020-S13";"A";"4"
"78";"2020-S14";"A";"4"
"78";"2020-S11";"0";"1"
"78";"2020-S12";"0";"2"
"78";"2020-S13";"0";"4"
"78";"2020-S14";"0";"5"
"79";"2020-S11";"A";"1"
"79";"2020-S12";"A";"1"
"79";"2020-S13";"A";"1"
"79";"2020-S14";"A";"1"
"79";"2020-S11";"0";"1"
"79";"2020-S12";"0";"1"
"79";"2020-S13";"0";"1"
"79";"2020-S14";"0";"1"
"80";"2020-S11";"A";"2"
"80";"2020-S12";"A";"1"
"80";"2020-S13";"A";"2"
"80";"2020-S14";"A";"2"
"80";"2020-S11";"0";"2"
"80";"2020-S12";"0";"2"
"80";"2020-S13";"0";"2"
"80";"2020-S14";"0";"2"
"81";"2020-S11";"A";"1"
"81";"2020-S12";"A";"1"
"81";"2020-S13";"A";"1"
"81";"2020-S14";"A";"1"
"81";"2020-S11";"0";"1"
"81";"2020-S12";"0";"1"
"81";"2020-S13";"0";"1"
"81";"2020-S14";"0";"1"
"82";"2020-S11";"A";"1"
"82";"2020-S12";"A";"1"
"82";"2020-S13";"A";"1"
"82";"2020-S14";"A";"1"
"82";"2020-S11";"0";"1"
"82";"2020-S12";"0";"1"
"82";"2020-S13";"0";"1"
"82";"2020-S14";"0";"1"
"83";"2020-S11";"A";"1"
"83";"2020-S12";"A";"1"
"83";"2020-S13";"A";"1"
"83";"2020-S14";"A";"2"
"83";"2020-S11";"0";"2"
"83";"2020-S12";"0";"1"
"83";"2020-S13";"0";"1"
"83";"2020-S14";"0";"2"
"84";"2020-S11";"A";"1"
"84";"2020-S12";"A";"1"
"84";"2020-S13";"A";"1"
"84";"2020-S14";"A";"1"
"84";"2020-S11";"0";"1"
"84";"2020-S12";"0";"1"
"84";"2020-S13";"0";"1"
"84";"2020-S14";"0";"1"
"85";"2020-S11";"A";"1"
"85";"2020-S12";"A";"1"
"85";"2020-S13";"A";"1"
"85";"2020-S14";"A";"1"
"85";"2020-S11";"0";"1"
"85";"2020-S12";"0";"1"
"85";"2020-S13";"0";"1"
"85";"2020-S14";"0";"1"
"86";"2020-S11";"A";"1"
"86";"2020-S12";"A";"1"
"86";"2020-S13";"A";"1"
"86";"2020-S14";"A";"1"
"86";"2020-S11";"0";"1"
"86";"2020-S12";"0";"1"
"86";"2020-S13";"0";"1"
"86";"2020-S14";"0";"1"
"87";"2020-S11";"A";"1"
"87";"2020-S12";"A";"1"
"87";"2020-S13";"A";"1"
"87";"2020-S14";"A";"1"
"87";"2020-S11";"0";"1"
"87";"2020-S12";"0";"1"
"87";"2020-S13";"0";"1"
"87";"2020-S14";"0";"1"
"88";"2020-S11";"A";"2"
"88";"2020-S12";"A";"2"
"88";"2020-S13";"A";"4"
"88";"2020-S14";"A";"4"
"88";"2020-S11";"0";"2"
"88";"2020-S12";"0";"3"
"88";"2020-S13";"0";"4"
"88";"2020-S14";"0";"4"
"89";"2020-S11";"A";"1"
"89";"2020-S12";"A";"1"
"89";"2020-S13";"A";"1"
"89";"2020-S14";"A";"1"
"89";"2020-S11";"0";"1"
"89";"2020-S12";"0";"1"
"89";"2020-S13";"0";"1"
"89";"2020-S14";"0";"1"
"90";"2020-S11";"A";"1"
"90";"2020-S12";"A";"1"
"90";"2020-S13";"A";"2"
"90";"2020-S14";"A";"2"
"90";"2020-S11";"0";"1"
"90";"2020-S12";"0";"1"
"90";"2020-S13";"0";"2"
"90";"2020-S14";"0";"2"
"91";"2020-S11";"A";"1"
"91";"2020-S12";"A";"2"
"91";"2020-S13";"A";"4"
"91";"2020-S14";"A";"5"
"91";"2020-S11";"0";"1"
"91";"2020-S12";"0";"2"
"91";"2020-S13";"0";"4"
"91";"2020-S14";"0";"5"
"92";"2020-S11";"A";"1"
"92";"2020-S12";"A";"2"
"92";"2020-S13";"A";"5"
"92";"2020-S14";"A";"5"
"92";"2020-S11";"0";"1"
"92";"2020-S12";"0";"2"
"92";"2020-S13";"0";"5"
"92";"2020-S14";"0";"5"
"93";"2020-S11";"A";"1"
"93";"2020-S12";"A";"2"
"93";"2020-S13";"A";"5"
"93";"2020-S14";"A";"5"
"93";"2020-S11";"0";"1"
"93";"2020-S12";"0";"3"
"93";"2020-S13";"0";"5"
"93";"2020-S14";"0";"5"
"94";"2020-S11";"A";"1"
"94";"2020-S12";"A";"1"
"94";"2020-S13";"A";"4"
"94";"2020-S14";"A";"5"
"94";"2020-S11";"0";"1"
"94";"2020-S12";"0";"2"
"94";"2020-S13";"0";"4"
"94";"2020-S14";"0";"5"
"95";"2020-S11";"A";"2"
"95";"2020-S12";"A";"2"
"95";"2020-S13";"A";"4"
"95";"2020-S14";"A";"5"
"95";"2020-S11";"0";"1"
"95";"2020-S12";"0";"2"
"95";"2020-S13";"0";"5"
"95";"2020-S14";"0";"5"
"974";"2020-S11";"A";"1"
"974";"2020-S12";"A";"1"
"974";"2020-S13";"A";"1"
"974";"2020-S14";"A";"1"
"974";"2020-S11";"0";"1"
"974";"2020-S12";"0";"1"
"974";"2020-S13";"0";"1"
